pkg,size_mb,forkevent_pre,pullrequestevent_pre,pushevent_pre,releaseevent_pre,watchevent_pre,issues_opened_pre,issues_closed_pre
nakuru-project-idk,0.41015625,0.0,2.0,11.0,1.0,1.0,2.0,1.0
napari-correct-drift,,,,,,,,
napari-sam4is,,,,,,,,
nbt-structure-utils,0.05078125,1.0,14.0,31.0,9.0,1.0,5.0,0.0
ndfind,1.1826171875,0.0,0.0,46.0,0.0,0.0,0.0,0.0
nemoguardrails,12.8525390625,70.0,2.0,12.0,0.0,1227.0,14.0,10.0
netconf-tool,0.7841796875,0.0,7.0,9.0,0.0,4.0,0.0,0.0
neural-data-simulator,20.591796875,1.0,20.0,56.0,5.0,12.0,1.0,2.0
neuralbasics,12.998046875,0.0,0.0,3.0,0.0,0.0,0.0,0.0
nlvcore,2.3408203125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nlvwxpython,45.1005859375,0.0,0.0,3.0,0.0,0.0,0.0,0.0
nneten,11.7275390625,0.0,0.0,3.0,0.0,0.0,0.0,0.0
no-tegridy,2.4931640625,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nodegraphqt,,,,,,,,
nodered-py,0.3203125,0.0,0.0,15.0,4.0,2.0,0.0,0.0
nonebot-desktop-tk,0.1259765625,0.0,0.0,12.0,6.0,4.0,0.0,0.0
nonebot-plugin-megumin,0.474609375,3.0,2.0,16.0,1.0,11.0,0.0,0.0
notifydesk,0.013671875,0.0,0.0,3.0,0.0,0.0,0.0,0.0
nsepythonserver,23.1943359375,7.0,0.0,6.0,0.0,20.0,7.0,6.0
numpy-cursor,0.0146484375,0.0,0.0,7.0,0.0,0.0,0.0,0.0
nycu-tdx-py,1.11328125,0.0,0.0,26.0,0.0,1.0,0.0,0.0
ocrd-network,37.7333984375,0.0,61.0,200.0,11.0,6.0,28.0,17.0
odoo-addon-auth-saml-environment,1.28515625,10.0,32.0,22.0,0.0,5.0,2.0,1.0
odoo-addon-coupon-multiplier-free-product,0.8603515625,5.0,75.0,81.0,0.0,1.0,0.0,0.0
odoo-addon-hr-attendance-calendar-view,0.736328125,11.0,51.0,72.0,0.0,6.0,1.0,1.0
odoo-addon-l10n-de-holidays,4.005859375,3.0,22.0,22.0,0.0,3.0,1.0,0.0
odoo-addon-product-category-company,2.6904296875,20.0,92.0,84.0,0.0,7.0,4.0,3.0
odoo-addon-purchase-invoice-method,21.55078125,40.0,303.0,359.0,0.0,10.0,11.0,13.0
odoo-addon-purchase-no-rfq,21.55078125,40.0,303.0,359.0,0.0,10.0,11.0,13.0
odoo-addon-purchase-order-qty-by-product-category,21.55078125,40.0,303.0,359.0,0.0,10.0,11.0,13.0
odoo-addon-purchase-report-date-format,0.36328125,2.0,10.0,10.0,0.0,3.0,0.0,0.0
odoo-addon-purchase-report-shipping-address,0.36328125,2.0,10.0,10.0,0.0,3.0,0.0,0.0
odoo-addon-purchase-stock-tier-validation,21.55078125,40.0,303.0,359.0,0.0,10.0,11.0,13.0
odoo-addon-sale-coupon-multiplier-free-product,0.8603515625,5.0,75.0,81.0,0.0,1.0,0.0,0.0
odoo-addon-server-environment-files-sample,1.28515625,10.0,32.0,22.0,0.0,5.0,2.0,1.0
odoo-addon-stock-location-position,26.111328125,25.0,180.0,246.0,0.0,11.0,5.0,11.0
odoo-addon-stock-move-line-reserved-quant,12.947265625,31.0,201.0,243.0,0.0,13.0,8.0,6.0
odoo-addon-user-all-groups,6.40234375,42.0,124.0,164.0,0.0,8.0,6.0,3.0
odoo12-addon-fieldservice-calendar,9.0322265625,16.0,109.0,206.0,0.0,9.0,2.0,7.0
odoo13-addon-stock-barcodes-picking-batch,10.1748046875,7.0,66.0,71.0,0.0,4.0,3.0,15.0
odoo14-addon-crm-lead-currency,7.6396484375,13.0,46.0,86.0,0.0,10.0,1.0,1.0
odoo14-addon-delivery-schenker-picking-volume,37.3798828125,13.0,71.0,82.0,0.0,5.0,3.0,3.0
odoo14-addon-l10n-it-riba-sale-commission,60.4462890625,14.0,196.0,266.0,0.0,8.0,56.0,43.0
odoo14-addon-product-fao-fishing,9.64453125,6.0,13.0,19.0,0.0,1.0,1.0,2.0
odoo14-addon-stock-location-orderpoint,26.111328125,25.0,180.0,246.0,0.0,11.0,5.0,11.0
odoo14-addon-stock-location-orderpoint-source-relocate,26.111328125,25.0,180.0,246.0,0.0,11.0,5.0,11.0
odoo14-addon-website-sale-filter-product-brand,9.1650390625,29.0,136.0,140.0,0.0,9.0,5.0,3.0
ofa2,5.8994140625,1.0,0.0,11.0,0.0,3.0,0.0,0.0
openshield,0.0244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openz,0.01953125,0.0,0.0,4.0,0.0,0.0,0.0,0.0
osu-stream-speed,0.0048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ovos-classifiers,30.9951171875,1.0,2.0,97.0,9.0,2.0,2.0,1.0
ovos-tts-plugin-piper,0.025390625,0.0,2.0,12.0,5.0,1.0,0.0,0.0
paayes,1.091796875,0.0,0.0,7.0,0.0,1.0,0.0,0.0
pacakge1,0.03515625,0.0,0.0,9.0,0.0,0.0,0.0,0.0
palmers-preprocess,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
parsel-get-selector-text,0.0068359375,0.0,0.0,4.0,0.0,1.0,0.0,0.0
parseweb,0.5263671875,21.0,5.0,0.0,0.0,134.0,5.0,1.0
passlass,54.2958984375,0.0,0.0,36.0,1.0,0.0,0.0,0.0
passlass4,54.2958984375,0.0,0.0,36.0,1.0,0.0,0.0,0.0
passlass408,54.2958984375,0.0,0.0,36.0,1.0,0.0,0.0,0.0
passlass48,54.2958984375,0.0,0.0,36.0,1.0,0.0,0.0,0.0
passlass498,54.2958984375,0.0,0.0,36.0,1.0,0.0,0.0,0.0
password-manager445,54.2958984375,0.0,0.0,36.0,1.0,0.0,0.0,0.0
passwordtools-yt,0.0107421875,0.0,0.0,5.0,0.0,0.0,0.0,0.0
paymeapi,0.005859375,0.0,0.0,5.0,1.0,1.0,0.0,0.0
payu-websdk,0.0146484375,0.0,0.0,2.0,0.0,1.0,0.0,0.0
pb-graphene,0.005859375,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pdt-extract,14.9189453125,0.0,0.0,35.0,0.0,1.0,1.0,1.0
pelican-touch,0.03125,0.0,3.0,6.0,1.0,0.0,0.0,0.0
perspective-parquet,3.8212890625,0.0,0.0,3.0,1.0,3.0,2.0,0.0
phonetree,0.005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pidgin-eng-dictionary,0.03515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pingsafecli,74.20703125,112.0,1259.0,2528.0,73.0,506.0,176.0,211.0
pinstall,0.013671875,0.0,0.0,3.0,0.0,1.0,0.0,0.0
pip-package-template-docker,0.0078125,0.0,0.0,7.0,3.0,0.0,0.0,0.0
pixelfuse,13.939453125,0.0,1.0,10.0,5.0,0.0,0.0,0.0
pixelpotion,0.0205078125,0.0,0.0,7.0,0.0,0.0,0.0,0.0
plexprefernonforcedsubs,11.2626953125,0.0,13.0,60.0,9.0,2.0,7.0,5.0
plttbc,,,,,,,,
pmkoalas,0.234375,0.0,0.0,5.0,0.0,0.0,0.0,0.0
polars-streaming,0.046875,1.0,0.0,24.0,2.0,12.0,0.0,0.0
pollstats,15.3798828125,1.0,0.0,2.0,0.0,0.0,0.0,0.0
poly-readdit,0.17578125,0.0,0.0,1.0,0.0,1.0,0.0,0.0
polysplit,0.0400390625,0.0,14.0,45.0,1.0,1.0,8.0,9.0
porkbun-ddns,0.0439453125,0.0,9.0,25.0,4.0,2.0,0.0,0.0
pqam-dparamhu2021,14.16015625,0.0,0.0,1.0,0.0,0.0,0.0,0.0
prepipy,0.3662109375,0.0,2.0,7.0,0.0,0.0,0.0,0.0
print-pretty-tree,0.060546875,1.0,4.0,5.0,0.0,2.0,0.0,1.0
project-processamento,0.0078125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
prompt-me,,,,,,,,
promptwatch,0.16796875,0.0,4.0,5.0,0.0,1.0,1.0,2.0
protloc-mex1,247.4443359375,0.0,0.0,28.0,0.0,1.0,0.0,0.0
psdelivery,0.06640625,2.0,16.0,46.0,2.0,1.0,7.0,5.0
psgraph,74.20703125,112.0,1259.0,2528.0,73.0,506.0,176.0,211.0
puncover-riscv,1.4716796875,0.0,0.0,4.0,1.0,5.0,0.0,0.0
pwnmodules,0.0078125,0.0,0.0,5.0,0.0,0.0,0.0,0.0
py-sls-lambda-toolkit,0.013671875,0.0,0.0,7.0,0.0,0.0,0.0,0.0
py-to-proto,0.2685546875,0.0,8.0,5.0,4.0,0.0,1.0,1.0
pyaesm,0.05078125,2.0,0.0,0.0,0.0,11.0,0.0,0.0
pyaipersonality,1.4208984375,3.0,0.0,32.0,1.0,19.0,0.0,0.0
pybloomer,2.2431640625,0.0,0.0,17.0,0.0,0.0,0.0,0.0
pychaterr,0.0107421875,0.0,0.0,6.0,0.0,3.0,0.0,0.0
pycramfs,0.0263671875,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pydantic-chatcompletion,0.0185546875,2.0,0.0,5.0,0.0,29.0,0.0,0.0
pydeeplx,0.0126953125,0.0,0.0,5.0,0.0,13.0,1.0,1.0
pydhcp3,0.0458984375,0.0,0.0,6.0,0.0,0.0,0.0,0.0
pydroiddepot,0.1494140625,0.0,0.0,5.0,1.0,0.0,0.0,0.0
pyfed,0.0693359375,0.0,4.0,11.0,3.0,0.0,0.0,0.0
pyfed-macos,0.0693359375,0.0,4.0,11.0,3.0,0.0,0.0,0.0
pyfedm,0.0693359375,0.0,4.0,11.0,3.0,0.0,0.0,0.0
pyfixest,5.2958984375,1.0,30.0,137.0,2.0,11.0,39.0,34.0
pyfloat,0.2392578125,0.0,0.0,10.0,3.0,0.0,0.0,0.0
pyfx-tool,0.00390625,0.0,0.0,4.0,0.0,0.0,0.0,0.0
pygame-json-ui,0.0732421875,0.0,9.0,21.0,0.0,1.0,1.0,1.0
pygentrification,0.265625,0.0,0.0,6.0,0.0,0.0,0.0,0.0
pylambdic,0.0078125,0.0,0.0,3.0,2.0,0.0,0.0,0.0
pymailers,0.03515625,0.0,0.0,15.0,0.0,0.0,0.0,0.0
pymispgalaxies,0.6298828125,2.0,6.0,5.0,0.0,2.0,3.0,2.0
pymwr,5.2568359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pymx2,0.091796875,1.0,3.0,7.0,0.0,0.0,0.0,0.0
pynukibt,0.0693359375,0.0,0.0,25.0,5.0,0.0,0.0,0.0
pyobigram,0.1103515625,1.0,0.0,3.0,0.0,0.0,0.0,0.0
pyopenbook,0.5732421875,0.0,0.0,5.0,0.0,0.0,0.0,0.0
pyopenfigi,0.078125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pyoqs-sdk,0.056640625,0.0,2.0,9.0,0.0,0.0,0.0,0.0
pyosa,1.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pyplanpro,0.0712890625,1.0,0.0,29.0,5.0,0.0,0.0,0.0
pypmed,0.0810546875,0.0,0.0,19.0,6.0,0.0,0.0,0.0
pyqea,0.0654296875,1.0,0.0,0.0,0.0,2.0,0.0,0.0
pyram-mogus,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
pyshortext,0.0068359375,0.0,0.0,3.0,0.0,0.0,0.0,0.0
pysigma-backend-sentinelone,0.0615234375,0.0,2.0,23.0,4.0,0.0,0.0,2.0
pystools,0.046875,0.0,0.0,4.0,0.0,0.0,0.0,0.0
pystorz,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pytedea,0.232421875,0.0,0.0,8.0,5.0,0.0,0.0,0.0
pytest-patch,0.013671875,0.0,6.0,11.0,1.0,1.0,0.0,0.0
pytestlog2db,2.578125,1.0,26.0,31.0,4.0,0.0,20.0,13.0
python-automation-framework,0.1865234375,0.0,21.0,63.0,6.0,2.0,0.0,0.0
python-bebop,50.419921875,6.0,23.0,63.0,7.0,108.0,5.0,10.0
python-scan,,,,,,,,
python-switchbot-ble,0.181640625,0.0,0.0,20.0,1.0,0.0,0.0,0.0
pythonsdk,0.2900390625,0.0,2.0,15.0,0.0,0.0,0.0,0.0
pyuftp,0.080078125,0.0,0.0,10.0,0.0,0.0,0.0,0.0
pyved,1.1123046875,0.0,0.0,14.0,1.0,0.0,0.0,0.0
pywatershed,196.236328125,3.0,22.0,9.0,1.0,2.0,1.0,0.0
pyxui,0.0341796875,3.0,2.0,18.0,0.0,13.0,4.0,1.0
qeng-admin-api,0.0302734375,0.0,0.0,1.0,0.0,0.0,0.0,0.0
qtapputils,0.03125,0.0,0.0,7.0,0.0,0.0,0.0,0.0
quizpython,0.01953125,0.0,0.0,2.0,0.0,1.0,0.0,0.0
quri-parts-quantinuum,1.7216796875,4.0,133.0,191.0,10.0,9.0,2.0,1.0
rabbie,0.13671875,0.0,12.0,59.0,1.0,3.0,0.0,0.0
rafnixg,0.017578125,0.0,0.0,8.0,3.0,1.0,0.0,0.0
rasst,0.3125,0.0,0.0,30.0,0.0,1.0,0.0,0.0
rayid,0.0048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rclone-decrypt,0.25390625,0.0,6.0,20.0,0.0,0.0,0.0,0.0
rds-core,0.015625,0.0,0.0,3.0,3.0,0.0,0.0,0.0
readable-number,0.08984375,0.0,3.0,13.0,3.0,0.0,0.0,0.0
recurrent-memory-transformer-pytorch,35.119140625,7.0,0.0,51.0,25.0,232.0,4.0,3.0
redshift-user-manager,0.0283203125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
refurb-json-minify,0.0234375,0.0,40.0,4.0,0.0,0.0,0.0,0.0
registry-sweepers,5.83984375,0.0,13.0,60.0,12.0,0.0,4.0,4.0
revs,0.015625,0.0,0.0,10.0,0.0,0.0,0.0,0.0
rich-format,0.01171875,0.0,0.0,3.0,2.0,1.0,0.0,0.0
rizzless-guitar-guide,0.0634765625,0.0,2.0,9.0,1.0,0.0,0.0,0.0
rmrkl,0.0146484375,0.0,2.0,10.0,2.0,22.0,0.0,0.0
robotframework-robosapiens,0.9677734375,0.0,0.0,23.0,0.0,0.0,0.0,1.0
rosetta-ce,3.607421875,0.0,0.0,10.0,1.0,0.0,0.0,0.0
rum-with-telegram,0.419921875,0.0,0.0,20.0,0.0,1.0,0.0,0.0
rwexptest,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
sa-node-architecture,0.0068359375,0.0,0.0,5.0,3.0,0.0,0.0,0.0
safe-exit,0.044921875,0.0,0.0,11.0,1.0,0.0,0.0,0.0
saipravega,4.01953125,0.0,3.0,86.0,3.0,0.0,0.0,0.0
salt-analytics-framework,,,,,,,,
sam-publish,,,,,,,,
sampy-abm,0.158203125,0.0,0.0,4.0,0.0,1.0,0.0,0.0
sar-handler,0.0263671875,0.0,0.0,11.0,0.0,0.0,0.0,0.0
scarlet-shark-python,0.0302734375,0.0,0.0,9.0,4.0,0.0,0.0,0.0
scipion-em-isonet,0.2841796875,0.0,2.0,34.0,0.0,0.0,1.0,0.0
scoobi,0.0830078125,2.0,6.0,25.0,5.0,0.0,0.0,0.0
sd212review,0.00390625,0.0,0.0,2.0,0.0,0.0,0.0,0.0
sdc-apis,0.037109375,2.0,12.0,13.0,0.0,0.0,0.0,0.0
sdc-sdk,0.00390625,1.0,1.0,0.0,0.0,0.0,0.0,0.0
sdtcloud,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
secure-logger,0.083984375,0.0,5.0,33.0,8.0,0.0,0.0,0.0
securepasswordgenerator,0.0146484375,0.0,0.0,2.0,2.0,0.0,0.0,0.0
selenium-kit,0.0068359375,0.0,0.0,5.0,0.0,0.0,0.0,0.0
sentient-switchblade,1.388671875,0.0,0.0,11.0,0.0,0.0,0.0,0.0
serums,4.2119140625,0.0,4.0,58.0,3.0,1.0,1.0,0.0
sfmlearner-installable,7.025390625,0.0,0.0,5.0,0.0,0.0,0.0,0.0
sharetop,0.4970703125,0.0,0.0,23.0,0.0,2.0,0.0,0.0
shark-sac-korean-editor,0.5712890625,0.0,0.0,5.0,1.0,1.0,0.0,0.0
shedding-py,0.015625,0.0,1.0,5.0,0.0,1.0,0.0,0.0
shifts-scheduler,0.0126953125,0.0,0.0,5.0,0.0,0.0,0.0,0.0
simpler-sf,0.0283203125,0.0,0.0,14.0,1.0,0.0,0.0,0.0
single-consumer-queue,0.0166015625,0.0,0.0,2.0,0.0,0.0,0.0,0.0
singleton-class-decorator,0.0556640625,0.0,14.0,13.0,2.0,0.0,0.0,0.0
siq3d,0.1044921875,0.0,0.0,11.0,0.0,0.0,0.0,0.0
sitesweeper,0.009765625,0.0,0.0,3.0,3.0,0.0,0.0,0.0
skeetpy,0.0087890625,0.0,0.0,5.0,0.0,1.0,0.0,0.0
skeletonkey,0.0283203125,0.0,2.0,6.0,1.0,2.0,6.0,0.0
skylab,0.0888671875,0.0,2.0,9.0,3.0,11.0,0.0,0.0
skytag,1.15625,0.0,0.0,5.0,0.0,1.0,0.0,0.0
socketwrapper,0.0244140625,0.0,0.0,13.0,4.0,0.0,0.0,0.0
socscikit,0.048828125,0.0,0.0,0.0,2.0,0.0,0.0,0.0
solverpy,0.0869140625,0.0,0.0,10.0,0.0,0.0,0.0,0.0
sonde2kml,,,,,,,,
sortinghat-openinfra,0.1630859375,1.0,18.0,15.0,3.0,0.0,1.0,0.0
spacs,0.0380859375,0.0,0.0,18.0,0.0,1.0,0.0,0.0
spacy-huggingface-pipelines,0.033203125,2.0,13.0,6.0,3.0,31.0,0.0,0.0
spamemaildetector,1.4892578125,0.0,0.0,3.0,0.0,0.0,0.0,0.0
spayk,1.98828125,0.0,0.0,2.0,0.0,0.0,0.0,0.0
spdxmerge,2.048828125,0.0,56.0,81.0,10.0,27.0,1.0,3.0
spec-pilot,0.1630859375,0.0,12.0,61.0,16.0,0.0,0.0,0.0
spectralib,37.0615234375,0.0,0.0,28.0,1.0,2.0,0.0,0.0
spectresc,3.3984375,0.0,0.0,18.0,5.0,0.0,0.0,0.0
sphericart-torch,5.3876953125,2.0,51.0,336.0,2.0,30.0,5.0,1.0
sql2mermaid-cli,0.0791015625,0.0,0.0,14.0,0.0,3.0,0.0,0.0
sqlite-database,0.125,0.0,12.0,50.0,7.0,1.0,0.0,0.0
sqlite-sync,0.0234375,1.0,0.0,2.0,0.0,0.0,0.0,0.0
squashy,2.7666015625,0.0,0.0,11.0,0.0,0.0,0.0,0.0
ssenv,0.013671875,0.0,1.0,9.0,2.0,0.0,0.0,0.0
stagekit,0.0703125,0.0,0.0,7.0,0.0,0.0,0.0,0.0
starrail,0.154296875,8.0,12.0,35.0,0.0,128.0,3.0,3.0
start-html-tag-helpers,,,,,,,,
statplotastro,0.0029296875,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stc-tools,0.015625,1.0,0.0,10.0,0.0,6.0,0.0,0.0
stitchtoon,2.25390625,0.0,0.0,30.0,5.0,1.0,0.0,0.0
stmaterial,4.634765625,0.0,141.0,161.0,8.0,1.0,0.0,0.0
stopwords-zh,0.0517578125,1.0,2.0,10.0,0.0,2.0,0.0,0.0
storygensn,1.0107421875,0.0,0.0,6.0,0.0,0.0,0.0,0.0
streamlit-chatbot,9.1171875,77.0,16.0,3.0,0.0,249.0,14.0,3.0
streamlit-controllerdf,,,,,,,,
stubborn,0.25390625,0.0,0.0,2.0,0.0,1.0,0.0,0.0
stylgebra,0.0458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
super-duper-waddle,1.0654296875,0.0,0.0,2.0,1.0,0.0,0.0,0.0
supopnumtools,0.0986328125,0.0,0.0,16.0,1.0,0.0,0.0,0.0
swedish-market-insights,0.447265625,0.0,0.0,27.0,7.0,2.0,3.0,1.0
tbpy,1.5576171875,0.0,0.0,33.0,6.0,2.0,0.0,0.0
tegda,0.041015625,0.0,0.0,14.0,0.0,0.0,0.0,0.0
telemulator3,0.0791015625,0.0,22.0,112.0,3.0,0.0,2.0,1.0
teneva-bm,0.052734375,0.0,0.0,7.0,0.0,1.0,0.0,0.0
teneva-jax,1.203125,0.0,0.0,3.0,0.0,3.0,0.0,0.0
test-push-swap,0.7138671875,1.0,0.0,37.0,0.0,6.0,1.0,0.0
text-box-wrapper,0.0078125,0.0,0.0,7.0,0.0,0.0,0.0,0.0
thatdslibrary,1.8251953125,0.0,2.0,17.0,2.0,0.0,0.0,0.0
the-lord-of-the-rings-sdk-danilredko,0.009765625,0.0,0.0,6.0,0.0,0.0,0.0,0.0
timelessnesses-typed-env,0.0224609375,0.0,0.0,5.0,0.0,0.0,0.0,0.0
tinyshap,0.115234375,1.0,0.0,7.0,0.0,7.0,0.0,0.0
tkterm,0.26171875,1.0,4.0,46.0,1.0,10.0,2.0,3.0
toml-tools,0.453125,0.0,2.0,59.0,3.0,0.0,0.0,0.0
topcast,37.3974609375,0.0,0.0,5.0,1.0,1.0,0.0,0.0
torch-scaler,0.0048828125,0.0,0.0,2.0,0.0,2.0,0.0,0.0
torch-train-loop,,,,,,,,
tpfi,3.111328125,0.0,0.0,10.0,0.0,0.0,0.0,0.0
tphate,,,,,,,,
tpot2,0.8505859375,4.0,33.0,19.0,3.0,15.0,2.0,0.0
tresto,0.01953125,0.0,0.0,5.0,0.0,0.0,0.0,0.0
trowser,1.845703125,0.0,0.0,9.0,0.0,0.0,0.0,0.0
tsdf,3.0869140625,0.0,13.0,77.0,1.0,0.0,0.0,2.0
twarc2sql,0.541015625,0.0,25.0,74.0,0.0,5.0,7.0,2.0
twitter-graphql,0.00390625,0.0,0.0,1.0,0.0,1.0,0.0,0.0
typst-pyimage,0.06640625,0.0,0.0,5.0,1.0,35.0,0.0,0.0
uniswapsim,0.1396484375,56.0,10.0,2.0,0.0,170.0,4.0,2.0
updateable-zip-file,0.0029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uphill,2.6337890625,0.0,0.0,1.0,0.0,0.0,0.0,0.0
validator-and-token-generator,0.04296875,0.0,3.0,29.0,2.0,0.0,0.0,0.0
vallocal,0.013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaspgibbs,0.046875,3.0,0.0,5.0,1.0,5.0,0.0,0.0
vault-dump,0.041015625,0.0,5.0,30.0,1.0,1.0,0.0,0.0
vault2secretsmanager,0.0087890625,0.0,0.0,2.0,0.0,0.0,0.0,0.0
vbao-mvvm,0.123046875,0.0,0.0,10.0,1.0,1.0,0.0,0.0
vcon,16.197265625,2.0,24.0,108.0,0.0,3.0,12.0,3.0
vector2dggs,7.767578125,0.0,2.0,9.0,3.0,2.0,4.0,4.0
vectordb2,0.6005859375,1.0,0.0,24.0,0.0,9.0,0.0,0.0
vht,4.1953125,0.0,0.0,11.0,2.0,5.0,0.0,0.0
vidimera,0.03125,0.0,0.0,18.0,2.0,0.0,0.0,0.0
vnkdj5-utils,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vnn,0.1650390625,1.0,0.0,5.0,0.0,3.0,0.0,0.0
voyagerpy,15.65234375,0.0,4.0,39.0,1.0,3.0,0.0,0.0
vtb-biname,0.001953125,0.0,0.0,2.0,0.0,0.0,0.0,0.0
vue2img,35.1435546875,0.0,0.0,9.0,0.0,0.0,0.0,0.0
wcmp,0.00390625,0.0,0.0,4.0,0.0,0.0,0.0,0.0
webexbotsdk,0.0390625,0.0,0.0,7.0,0.0,0.0,2.0,0.0
werpy,0.216796875,2.0,0.0,57.0,2.0,3.0,0.0,0.0
wheatly,0.017578125,0.0,0.0,2.0,1.0,0.0,0.0,0.0
which-plates,0.65625,0.0,42.0,89.0,9.0,0.0,0.0,0.0
wikiseriesasorkunlib,0.0673828125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
wikiseriesbrentlib,0.0732421875,0.0,0.0,3.0,0.0,0.0,0.0,0.0
wikiseriessjoerdlib,0.0732421875,0.0,0.0,7.0,0.0,0.0,0.0,0.0
win-cmd-escaper,0.056640625,0.0,0.0,11.0,3.0,5.0,0.0,0.0
winavsos,0.296875,0.0,0.0,6.0,0.0,0.0,0.0,0.0
wintraceroute,0.134765625,0.0,0.0,24.0,5.0,0.0,0.0,0.0
with-timeout,0.0146484375,0.0,0.0,6.0,0.0,0.0,0.0,0.0
workercontext,0.0146484375,0.0,0.0,5.0,0.0,0.0,0.0,0.0
worky,0.07421875,0.0,0.0,25.0,0.0,4.0,0.0,0.0
xapi-python,0.0625,0.0,2.0,35.0,0.0,2.0,0.0,0.0
xgrid,2.4365234375,1.0,4.0,42.0,0.0,2.0,0.0,0.0
xinvert,134.0693359375,0.0,0.0,71.0,2.0,6.0,4.0,4.0
xlttbc,,,,,,,,
xpi2pkgbuild,0.00390625,0.0,0.0,2.0,0.0,1.0,0.0,0.0
xrmap,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yajbe,102.123046875,0.0,0.0,21.0,0.0,0.0,0.0,0.0
yt5,0.51171875,1.0,8.0,31.0,3.0,8.0,0.0,0.0
ytchat,29.263671875,0.0,22.0,79.0,22.0,0.0,0.0,0.0
yze,0.041015625,0.0,0.0,29.0,0.0,0.0,0.0,0.0
zendron,102.5947265625,0.0,0.0,181.0,33.0,8.0,0.0,0.0
zoomaker,0.03125,0.0,0.0,13.0,0.0,0.0,0.0,0.0
